city,city_lat,city_lng,venue_id,venue_name,venue_lat,venue_lng,venue_cat
Bordeaux,44.836700000000064,-0.5810699999999542,5da308781be55d00072dea8b,Poke Poke,44.836726,-0.570975,Hawaiian Restaurant
Bordeaux,44.836700000000064,-0.5810699999999542,5bda0ccf8c812a002cf9480d,Hand Poke Bar,44.832954,-0.566717,Bar
Bordeaux,44.836700000000064,-0.5810699999999542,5dea4079059a360009ce6a7f,Poke Moon,44.811175,-0.592921,Hawaiian Restaurant
Bordeaux,44.836700000000064,-0.5810699999999542,5d0bcda371f3e80023c56a9e,Pokeo,44.837061,-0.57379,Hawaiian Restaurant
Bordeaux,44.836700000000064,-0.5810699999999542,52d6c296498e547b2aba911d,PokerSphere,44.859478,-0.565764,Casino
Bordeaux,44.836700000000064,-0.5810699999999542,4e8b59c8d22dbf0a91cdd0b5,Apero Poker,44.831459,-0.598641,General Entertainment
Bordeaux,44.836700000000064,-0.5810699999999542,4b50d68cf964a520913427e3,Poker Lormont Tours,44.8794025182724,-0.525117,Casino
Lille,50.62820000000005,3.068810000000042,,,,,
Rennes,48.108040000000074,-1.6844899999999257,,,,,
Reims,49.26019000000008,4.02956000000006,4dc534ea52b1e8f9f7cd35c7,Poker's Pizza Reims,49.24970387804757,4.039165219340193,Pizza Place
Saint-Étienne,45.43988000000007,4.395530000000065,,,,,
Toulon,43.116670000000056,5.933330000000069,,,,,
Le Havre,49.49359000000004,0.10097000000007483,,,,,
